SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1583704,315664,Cash loans,,0.0,0.0,,,WEDNESDAY,15,Y,1,,,,XNA,Refused,-430,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2352627,266560,Revolving loans,,0.0,0.0,,,WEDNESDAY,7,Y,1,,,,XAP,Canceled,-323,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1348316,104826,Revolving loans,22500.0,450000.0,450000.0,,450000.0,MONDAY,14,Y,1,,,,XAP,Refused,-183,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1680090,144062,Consumer loans,11372.67,100300.5,85252.5,15048.0,100300.5,FRIDAY,10,Y,1,0.1633953968325182,,,XAP,Refused,-2868,Cash through the bank,SCO,,Repeater,XNA,POS,XNA,Country-wide,19,Connectivity,10.0,high,POS mobile with interest,,,,,,
2284847,454600,Consumer loans,,27666.0,27666.0,0.0,27666.0,THURSDAY,16,Y,1,0.0,,,XAP,Unused offer,-357,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,30,Connectivity,,XNA,POS mobile with interest,,,,,,
2526335,240822,Consumer loans,6767.325,91755.0,33718.5,59625.0,91755.0,SATURDAY,10,Y,1,0.6956782792004311,,,XAP,Approved,-2761,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Stone,520,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-2730.0,-2580.0,-2580.0,-2557.0,1.0
2180622,271919,Consumer loans,8533.53,71955.0,71172.0,7195.5,71955.0,WEDNESDAY,18,Y,1,0.09999749432307573,,,XAP,Approved,-2184,Cash through the bank,XAP,"Spouse, partner",New,Photo / Cinema Equipment,POS,XNA,Stone,225,Consumer electronics,12.0,high,POS household with interest,365243.0,-2153.0,-1823.0,-1853.0,-1844.0,0.0
1776835,449198,Cash loans,,0.0,0.0,,,WEDNESDAY,14,Y,1,,,,XNA,Canceled,-166,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1140216,297314,Consumer loans,15969.06,94459.05,100687.5,4.05,94459.05,TUESDAY,8,Y,1,4.3805246635076936e-05,,,XAP,Refused,-2736,Cash through the bank,SCO,Children,Repeater,XNA,POS,XNA,Stone,100,Consumer electronics,8.0,high,POS household with interest,,,,,,
1127838,183458,Consumer loans,3973.095,17959.05,13945.5,4459.05,17959.05,THURSDAY,12,Y,1,0.2638646866227004,,,XAP,Approved,-2762,Cash through the bank,XAP,"Spouse, partner",New,Consumer Electronics,POS,XNA,Stone,100,Consumer electronics,4.0,low_normal,POS household with interest,365243.0,-2731.0,-2641.0,-2641.0,-2549.0,1.0
